,val_loss,val_generator_loss,val_generator_yfake_loss,val_generator_yreal_loss,val_discriminator_loss,val_discriminator_yfake_loss,val_discriminator_yreal_loss,loss,generator_loss,generator_yfake_loss,generator_yreal_loss,discriminator_loss,discriminator_yfake_loss,discriminator_yreal_loss
0,15.809209913635254,15.589327006530763,6.313400791931152,9.27592621459961,0.2198829270362854,0.1782893583893776,0.04159356917836121,18.938260927200318,18.781267362912494,10.250053664843241,8.53121371122996,0.156993574864844,0.07748883836776634,0.07950473632728566
1,10.578381158447266,10.24681413269043,2.493482621383667,7.7533315124511715,0.33156700992584226,0.2530143940925598,0.07855261515974998,13.96474845530192,13.664021966552735,5.610129053751628,8.05389290453593,0.30072648984789846,0.13466993951847156,0.16605655040607478
2,9.047050695800781,8.642162237548828,2.1510824966430664,6.491079731750489,0.4048884524345398,0.27646461691856383,0.12842383592724801,10.55014672571818,10.127743505350749,3.3059348059336346,6.82180870958964,0.42240321158568067,0.18950219495892526,0.23290101673156022
3,8.311914562225342,7.915074819946289,3.03835830078125,4.876716555023194,0.3968397410392761,0.12475497307777404,0.27208476811647414,9.584071591440837,9.107939894612631,2.9871823740005494,6.120757512791951,0.4761317042350769,0.2145446807573239,0.26158702326963346
4,7.861396111297608,7.417993998718262,2.2125198890686035,5.20547412185669,0.44340210642814637,0.26250894079208376,0.18089316591024399,9.034591707102457,8.52693810119629,2.8390710936228434,5.6878670176188155,0.5076536150773366,0.22780592407385508,0.2798476908157269
5,7.419346354675293,6.932073802947998,1.8303552719116212,5.1017185459136964,0.4872725468635559,0.3330676275253296,0.15420491977334022,8.92873962173462,8.413256920115153,2.786651619974772,5.626605310312907,0.515482703836759,0.23146380369067193,0.28401889993449053
6,8.159968642425538,7.740392129516602,2.2500486713409424,5.490343469238281,0.41957650723457335,0.22199169580936431,0.19758481129407882,9.10156780497233,8.591088980865479,2.8028813561757406,5.7882076171875,0.5104788249413172,0.2273796618640423,0.2830991626818975
7,7.775377568817139,7.336687257385254,2.450531262969971,4.886156025695801,0.4386902975559235,0.19943709461688996,0.23925320207476616,9.0564583539327,8.547073147583008,2.7887282161076863,5.758344934336344,0.5093852060953776,0.22742559672196705,0.2819596096128225
8,8.282986624908448,7.791938636779785,1.9320511753082275,5.8598874626159665,0.49104798860549925,0.2965792136669159,0.19446877464652063,9.149249048360188,8.642336649576823,2.7938129733403523,5.848523676808675,0.5069123899459839,0.225367280125618,0.2815451105395953
9,7.881512812805176,7.419472374725342,2.251493044471741,5.167979330444336,0.4620404350280762,0.22077513122558592,0.24126530314683914,9.217308046722412,8.707641068522136,2.745537918217977,5.9621031439463295,0.5096669777949651,0.2248820708354314,0.28478490681648255
10,8.05789744720459,7.610252300262451,2.312796138763428,5.297456161499023,0.44764515767097474,0.20210044226646423,0.24554471579790116,9.362561646270752,8.86006389872233,2.7838808369318646,6.07618304977417,0.5024977485338847,0.2218517082174619,0.2806460398872693
11,7.830723415374756,7.388783795166016,2.299685059738159,5.089098741912842,0.44193963251113894,0.1987279313325882,0.2432117009460926,9.557709991455079,9.064320087178547,2.8135715037663775,6.250748579025268,0.4933899083932241,0.21645481496453287,0.2769350937599937
12,8.181459747314452,7.695419757843018,1.836696142578125,5.858723596954346,0.48603998651504515,0.2983241103172302,0.18771587646901608,9.604503343454997,9.111088018290202,2.7931372716903686,6.317950747172038,0.493415331530571,0.2162469278295835,0.2771684034029643
13,7.851189435577393,7.3829524688720705,2.1642585815429687,5.218693888092041,0.4682369776725769,0.22911610147953032,0.2391208777010441,9.758801501719157,9.273186416625977,2.832143228785197,6.4410431833903,0.4856150940577189,0.21189489076932272,0.2737202033897241
14,8.433697576904297,7.974725833892823,2.0629188570022583,5.911806990814209,0.4589717438697815,0.2474187522172928,0.21155299257040025,9.832917135365804,9.355795971934,2.8778101607004802,6.477985798390707,0.47712115820248924,0.20769827606081961,0.2694228828986486
15,8.525008544921874,8.062182867431641,2.1331325805664063,5.92905029296875,0.46282568316459655,0.2299129358768463,0.23291274816393853,9.924952813975016,9.447135164133707,2.8519730675379433,6.595162096913656,0.47781765174070995,0.2084296299537023,0.2693880221029123
16,8.582692280578613,8.118527618408203,2.0993910484313965,6.019136582946778,0.46416464014053344,0.2361180043697357,0.22804663558006286,10.210003345235188,9.736432995096843,2.89543558362325,6.840997407277425,0.4735703282833099,0.20616193023324011,0.26740839771131675
17,8.401016138458251,7.928371654510498,1.957103907585144,5.971267747497558,0.4726444763183594,0.25684091272354126,0.2158035629749298,10.284328254954021,9.81526784210205,2.8911042234420776,6.9241636286417645,0.4690604059934616,0.20250914116104443,0.2665512651662032
18,8.396858519744873,7.937066012573243,2.1247813858032227,5.812284645843506,0.45979250521659853,0.22573077063560487,0.2340617352604866,10.23037584660848,9.761975022888183,2.859260527674357,6.902714495340983,0.4684008349021276,0.20203690605163574,0.2663639285385609
